headgroup	name	exactmass	formula	chain_type
M(IP)2C	M(IP)2C 51:2;O2	1419.853635	C69H131NO24P2	odd
M(IP)2C	M(IP)2C 51:2;O3	1435.84855	C69H131NO25P2	odd
M(IP)2C	M(IP)2C 51:2;O4	1451.843465	C69H131NO26P2	odd
M(IP)2C	M(IP)2C 51:2;O5	1467.83838	C69H131NO27P2	odd
M(IP)2C	M(IP)2C 51:2;O6	1483.833295	C69H131NO28P2	odd
M(IP)2C	M(IP)2C 51:3;O2	1417.837985	C69H129NO24P2	odd
M(IP)2C	M(IP)2C 51:3;O3	1433.8329	C69H129NO25P2	odd
M(IP)2C	M(IP)2C 51:3;O4	1449.827815	C69H129NO26P2	odd
M(IP)2C	M(IP)2C 51:3;O5	1465.82273	C69H129NO27P2	odd
M(IP)2C	M(IP)2C 51:3;O6	1481.817645	C69H129NO28P2	odd
M(IP)2C	M(IP)2C 51:4;O2	1415.822335	C69H127NO24P2	odd
M(IP)2C	M(IP)2C 51:4;O3	1431.81725	C69H127NO25P2	odd
M(IP)2C	M(IP)2C 51:4;O4	1447.812165	C69H127NO26P2	odd
M(IP)2C	M(IP)2C 51:4;O5	1463.80708	C69H127NO27P2	odd
M(IP)2C	M(IP)2C 51:4;O6	1479.801995	C69H127NO28P2	odd
M(IP)2C	M(IP)2C 51:5;O2	1413.806685	C69H125NO24P2	odd
M(IP)2C	M(IP)2C 51:5;O3	1429.8016	C69H125NO25P2	odd
M(IP)2C	M(IP)2C 51:5;O4	1445.796515	C69H125NO26P2	odd
M(IP)2C	M(IP)2C 51:5;O5	1461.79143	C69H125NO27P2	odd
M(IP)2C	M(IP)2C 51:5;O6	1477.786345	C69H125NO28P2	odd
M(IP)2C	M(IP)2C 51:6;O2	1411.791035	C69H123NO24P2	odd
M(IP)2C	M(IP)2C 51:6;O3	1427.78595	C69H123NO25P2	odd
M(IP)2C	M(IP)2C 51:6;O4	1443.780865	C69H123NO26P2	odd
M(IP)2C	M(IP)2C 51:6;O5	1459.77578	C69H123NO27P2	odd
M(IP)2C	M(IP)2C 51:6;O6	1475.770695	C69H123NO28P2	odd
ST	ST 25:1;O5;G	479.324689	C27H45NO6	odd
M(IP)2C	M(IP)2C 52:0;O2	1437.900585	C70H137NO24P2	even
M(IP)2C	M(IP)2C 52:0;O3	1453.8955	C70H137NO25P2	even
M(IP)2C	M(IP)2C 52:0;O4	1469.890415	C70H137NO26P2	even
M(IP)2C	M(IP)2C 52:0;O5	1485.88533	C70H137NO27P2	even
M(IP)2C	M(IP)2C 52:0;O6	1501.880245	C70H137NO28P2	even
M(IP)2C	M(IP)2C 52:1;O2	1435.884935	C70H135NO24P2	even
M(IP)2C	M(IP)2C 52:1;O3	1451.87985	C70H135NO25P2	even
M(IP)2C	M(IP)2C 52:1;O4	1467.874765	C70H135NO26P2	even
M(IP)2C	M(IP)2C 52:1;O5	1483.86968	C70H135NO27P2	even
M(IP)2C	M(IP)2C 52:1;O6	1499.864595	C70H135NO28P2	even
M(IP)2C	M(IP)2C 52:2;O2	1433.869285	C70H133NO24P2	even
M(IP)2C	M(IP)2C 52:2;O3	1449.8642	C70H133NO25P2	even
M(IP)2C	M(IP)2C 52:2;O4	1465.859115	C70H133NO26P2	even
M(IP)2C	M(IP)2C 52:2;O5	1481.85403	C70H133NO27P2	even
M(IP)2C	M(IP)2C 52:2;O6	1497.848945	C70H133NO28P2	even
M(IP)2C	M(IP)2C 52:3;O2	1431.853635	C70H131NO24P2	even
M(IP)2C	M(IP)2C 52:3;O3	1447.84855	C70H131NO25P2	even
M(IP)2C	M(IP)2C 52:3;O4	1463.843465	C70H131NO26P2	even
M(IP)2C	M(IP)2C 52:3;O5	1479.83838	C70H131NO27P2	even
M(IP)2C	M(IP)2C 52:3;O6	1495.833295	C70H131NO28P2	even
M(IP)2C	M(IP)2C 52:4;O2	1429.837985	C70H129NO24P2	even
M(IP)2C	M(IP)2C 52:4;O3	1445.8329	C70H129NO25P2	even
M(IP)2C	M(IP)2C 52:4;O4	1461.827815	C70H129NO26P2	even
M(IP)2C	M(IP)2C 52:4;O5	1477.82273	C70H129NO27P2	even
M(IP)2C	M(IP)2C 52:4;O6	1493.817645	C70H129NO28P2	even
M(IP)2C	M(IP)2C 52:5;O2	1427.822335	C70H127NO24P2	even
M(IP)2C	M(IP)2C 52:5;O3	1443.81725	C70H127NO25P2	even
